symbol,strategy,gated,total_return,cagr,vol_annual,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,avg_holding_days
ARM,scenario_full,False,0.008988892778323043,0.0033023424494151854,0.005575979987979068,0.5940434790432143,,-0.00019999999999986695,16.511712247086912,0.0014619883040935672,1,1.0,1.0
ARM,scenario_full,True,0.0,0.0,0.0,,,0.0,,0.0,0,,0.0
ARM,meltup_conflict_aware,False,3.3750350909984848,0.7224677287962495,0.7253367389080578,1.0952538462841932,1.8369288800459287,-0.5643643367903145,1.2801441935631683,0.9985380116959064,1,1.0,683.0
ARM,meltup_conflict_aware,True,1.4915169559170187,0.3997988354670139,0.6297052231540238,0.8283856965770284,1.2629067145769164,-0.4867984298792767,0.8212820973275566,0.6637426900584795,118,0.5423728813559322,3.847457627118644
QQQ,buy_and_hold,False,3.7601426985774253,0.2344183347883968,0.23950133910600813,0.9996828368727667,1.3000964001750963,-0.3511872364124521,0.6675024331268237,0.9994643813604713,1,1.0,1866.0
QQQ,buy_and_hold,True,1.6869952238438013,0.1427222515030142,0.22086878132884813,0.7147642663915555,0.8625628816436771,-0.32880091830578173,0.4340688956661729,0.7541510444563471,231,0.6017316017316018,6.095238095238095
QQQ,scenario_full,False,0.006859819495442121,0.0009231748150657637,0.0025946151875040524,0.35693189280607784,,-0.00019999999999997797,4.615874075329327,0.0005356186395286556,1,1.0,1.0
QQQ,scenario_full,True,0.006859819495442121,0.0009231748150657637,0.0025946151875040524,0.35693189280607784,,-0.00019999999999997797,4.615874075329327,0.0005356186395286556,1,1.0,1.0
QQQ,meltup_conflict_aware,False,3.0656820749683,0.20842118176320512,0.2262128685026996,0.9505474318344534,1.213012165922882,-0.31466966248260597,0.6623491445563998,0.9994643813604713,1,1.0,1866.0
QQQ,meltup_conflict_aware,True,1.6539938940228502,0.1408177556937542,0.20933103454369012,0.7343102083490426,0.8815385862676886,-0.2828411140254633,0.4978687634538055,0.7541510444563471,231,0.6017316017316018,6.095238095238095
SPY,buy_and_hold,False,2.2853372026323298,0.17415611005568898,0.19475117638690995,0.9223061078969313,1.1264918199228497,-0.33717248249298626,0.5165193457307469,0.9994643813604713,1,1.0,1866.0
SPY,buy_and_hold,True,0.8700868850616963,0.08816508826341196,0.18236227145404152,0.5548102954096235,0.6439808110625287,-0.28319045425303857,0.31132789590652654,0.7541510444563471,231,0.6103896103896104,6.095238095238095
SPY,scenario_full,False,0.0072642706274452795,0.0009774346629289887,0.002743140337462105,0.3575110508934084,,-0.000200000000000089,4.887173314642769,0.0005356186395286556,1,1.0,1.0
SPY,scenario_full,True,0.0072642706274452795,0.0009774346629289887,0.002743140337462105,0.3575110508934084,,-0.000200000000000089,4.887173314642769,0.0005356186395286556,1,1.0,1.0
SPY,meltup_conflict_aware,False,1.7642042919691532,0.1471001205317961,0.18710942314105966,0.827535835757847,0.9878085390296958,-0.3371724824929866,0.4362755805105059,0.9967862881628281,2,1.0,930.5
SPY,meltup_conflict_aware,True,0.761958791260277,0.07945240094710893,0.1759195350309296,0.5228922944567072,0.5974054896095053,-0.28319045425303846,0.2805617200504789,0.7530798071772897,230,0.6043478260869565,6.113043478260869
